delta,measure,quintile,ew_ret,vw_ret,n_obs
0.5,STR,1,3.691099679015657,-0.019151285421622272,28.0
0.5,STR,2,0.007831700039805317,-0.020278866686251267,27.583333333333332
0.5,STR,3,-0.0075839981802572265,-0.016346418253445964,27.583333333333332
0.5,STR,4,0.005585872911425388,-0.019636603954542215,27.583333333333332
0.5,STR,5,0.09756109254978869,-0.018847459694698143,27.916666666666668
0.5,STV,1,-0.04639924850330476,-0.015675430809581642,28.0
0.5,STV,2,0.031902171648086224,-0.012065594736291008,27.583333333333332
0.5,STV,3,0.05792975253984355,0.003817207531750491,27.583333333333332
0.5,STV,4,0.05805648588084459,0.0009325292951092648,27.583333333333332
0.5,STV,5,3.8406368487086575,-0.005713599209695764,27.916666666666668
0.7,STR,1,3.707006813830144,-0.006474231322083621,28.0
0.7,STR,2,-0.0033595052061622705,-0.031012718031757567,27.583333333333332
0.7,STR,3,0.0027891922956409508,-0.02214447082322574,27.583333333333332
0.7,STR,4,-0.017788790348238343,-0.017718178742522295,27.583333333333332
0.7,STR,5,0.10546968059173238,-0.022825350835450526,27.916666666666668
0.7,STV,1,-0.045578890120384234,-0.01643074067473275,28.0
0.7,STV,2,0.030681903419892284,-0.021218395889121472,27.583333333333332
0.7,STV,3,0.05868076590182352,0.02520622544446895,27.583333333333332
0.7,STV,4,0.055241758587263066,-0.012732760555471956,27.583333333333332
0.7,STV,5,3.842959418531614,-0.013240348550681605,27.916666666666668
0.9,STR,1,3.7157539939350475,-0.0043763184862749315,28.0
0.9,STR,2,-0.01093936960226659,-0.036062671041774415,27.583333333333332
0.9,STR,3,-0.008373852061376452,-0.02793668068891621,27.583333333333332
0.9,STR,4,-0.002339968974805609,-0.0027357136413463912,27.583333333333332
0.9,STR,5,0.09956475566523536,-0.023644322813727525,27.916666666666668
0.9,STV,1,-0.04770529150144304,-0.018301042275009446,28.0
0.9,STV,2,0.030082621310088126,-0.02236478089953396,27.583333333333332
0.9,STV,3,0.0485989574833686,0.004687390138149916,27.583333333333332
0.9,STV,4,0.0607845433767512,0.00802286418587375,27.583333333333332
0.9,STV,5,3.849974845401144,-0.016052265815084114,27.916666666666668
0.5,STR,H-L,-3.5935385864658684,0.00030382572692412915,
0.5,STV,H-L,3.887036097211962,0.009961831599885878,
0.7,STR,H-L,-3.6015371332384114,-0.016351119513366905,
0.7,STV,H-L,3.8885383086519982,0.0031903921240511463,
0.9,STR,H-L,-3.616189238269812,-0.019268004327452595,
0.9,STV,H-L,3.8976801369025873,0.0022487764599253314,
