measure,quintile,ew_ret,vw_ret,n_stocks
STR,1,3.707006813830144,-0.006474231322083621,28.0
STR,2,-0.0033595052061622705,-0.031012718031757567,27.583333333333332
STR,3,0.0027891922956409508,-0.02214447082322574,27.583333333333332
STR,4,-0.017788790348238343,-0.017718178742522295,27.583333333333332
STR,5,0.10546968059173238,-0.022825350835450526,27.916666666666668
STV,1,-0.045578890120384234,-0.01643074067473275,28.0
STV,2,0.030681903419892284,-0.021218395889121472,27.583333333333332
STV,3,0.05868076590182352,0.02520622544446895,27.583333333333332
STV,4,0.055241758587263066,-0.012732760555471956,27.583333333333332
STV,5,3.842959418531614,-0.013240348550681605,27.916666666666668
STR,H-L,-3.6015371332384114,-0.016351119513366905,
STV,H-L,3.8885383086519982,0.0031903921240511463,
