n_stocks,STR_coef,STV_coef,log_mcap_coef,mom_coef,STR_t,STV_t,log_mcap_t,mom_t,month
119,0.017343597130717914,-0.008380952562920223,0.02074980054327148,0.0,0.6844164700242013,-0.32442262149956286,0.7856992922532491,,2025-06
121,0.002640591070547906,-0.003698998977534048,0.013553322748180248,0.0,0.09228756918543668,-0.1294292670231436,0.4671293411884844,,2025-07
123,0.03771259930867966,-0.005983638433946726,-0.03233854670573928,0.0,1.4669158763927552,-0.23286077494088248,-1.2385321575568349,,2025-08
120,123.01021090713792,-0.015744089874843326,-0.0469920071311319,-0.07687453108529141,4.2688836506431995,-0.3865274982749135,-1.1074378190896297,-1.839240619047217,2025-09
123,0.00743586348911407,-0.015615824023628211,-0.01696126448234736,-7.9413495517165895,0.42763721159862966,-1.035005329149768,-1.0514565064956019,-3.6432478836704005,2025-10
125,0.0029903001101097004,-0.016066168814405923,-0.04259881580874425,6.508576265548859,0.18098032414591333,-1.046684953610073,-2.551466973699853,2.948955776734435,2025-11
130,-0.021097233288046247,-0.009785951675808563,-0.03697338543453854,-1.4649194434113937,-1.2506538487922934,-0.8178387872329282,-2.629459264076605,-0.8088278445365743,2025-12
134,-0.02712740908403334,-0.01467209386469004,-0.05154392617603942,0.00812892803482917,-1.697732031617083,-1.0955842254005412,-3.433017378518661,0.5907020455813149,2026-01
140,0.005798367337045642,0.0006453113484714739,-0.003414753561516876,0.10202267106629072,0.3373525906014928,0.03758270116750276,-0.1818587573811152,6.039330063444359,2026-02
146,-0.06829699878948026,0.0009501620988317339,-0.2385085385641611,0.041912662533396754,-1.154889772165421,0.016469748506289544,-3.989539905374548,0.6966965663615038,2026-03
148,0.0798862432010949,-0.005958109351863809,-0.15753810849500524,0.16206579681531072,1.0919765046048888,-0.08280419273921334,-2.1162984010950465,2.2146493208195017,2026-04
148,0.0872758150041727,-0.027790320200767046,-0.051649165966837794,0.07450553194116266,1.9882921542310763,-0.6256394119235817,-1.1472484186258618,1.687747605027499,2026-05
